year,month,doy,mday,hod,min,date,fm10,utc_prov,utc_rounded,hod_utc,doy_utc
1996,3,86,26,15,55,1996-03-26 15:55:00,6.3,1996-03-26 22:55:00,1996-03-26 23:00:00,23,86
1996,3,87,27,6,0,1996-03-27 06:00:00,6.8,1996-03-27 13:00:00,1996-03-27 13:00:00,13,87
1996,3,87,27,15,25,1996-03-27 15:25:00,6.8,1996-03-27 22:25:00,1996-03-27 22:00:00,22,87
1996,3,88,28,6,0,1996-03-28 06:00:00,14.4,1996-03-28 13:00:00,1996-03-28 13:00:00,13,88
1996,3,88,28,16,0,1996-03-28 16:00:00,9.1,1996-03-28 23:00:00,1996-03-28 23:00:00,23,88
1996,3,89,29,7,0,1996-03-29 07:00:00,13.3,1996-03-29 14:00:00,1996-03-29 14:00:00,14,89
1996,3,89,29,15,30,1996-03-29 15:30:00,8.2,1996-03-29 22:30:00,1996-03-29 22:00:00,22,89
1996,3,90,30,9,15,1996-03-30 09:15:00,49.1,1996-03-30 16:15:00,1996-03-30 16:00:00,16,90
1996,3,90,30,17,0,1996-03-30 17:00:00,31.5,1996-03-31 00:00:00,1996-03-31 00:00:00,0,91
1996,3,91,31,6,40,1996-03-31 06:40:00,31.3,1996-03-31 13:40:00,1996-03-31 14:00:00,14,91
1996,3,91,31,15,49,1996-03-31 15:49:00,14.8,1996-03-31 22:49:00,1996-03-31 23:00:00,23,91
1996,4,92,1,5,40,1996-04-01 05:40:00,17.0,1996-04-01 12:40:00,1996-04-01 13:00:00,13,92
1996,4,92,1,19,15,1996-04-01 19:15:00,9.8,1996-04-02 02:15:00,1996-04-02 02:00:00,2,93
1996,4,93,2,6,30,1996-04-02 06:30:00,9.8,1996-04-02 13:30:00,1996-04-02 14:00:00,14,93
1996,4,93,2,15,30,1996-04-02 15:30:00,6.8,1996-04-02 22:30:00,1996-04-02 22:00:00,22,93
1996,4,94,3,6,25,1996-04-03 06:25:00,11.7,1996-04-03 13:25:00,1996-04-03 13:00:00,13,94
1996,4,94,3,16,19,1996-04-03 16:19:00,8.2,1996-04-03 23:19:00,1996-04-03 23:00:00,23,94
1996,4,95,4,7,45,1996-04-04 07:45:00,10.5,1996-04-04 14:45:00,1996-04-04 15:00:00,15,95
1996,4,95,4,16,30,1996-04-04 16:30:00,8.8,1996-04-04 23:30:00,1996-04-05 00:00:00,0,96
1996,4,96,5,5,49,1996-04-05 05:49:00,10.1,1996-04-05 12:49:00,1996-04-05 13:00:00,13,96
1996,4,96,5,16,25,1996-04-05 16:25:00,8.4,1996-04-05 23:25:00,1996-04-05 23:00:00,23,96
1996,4,97,6,6,15,1996-04-06 06:15:00,9.8,1996-04-06 13:15:00,1996-04-06 13:00:00,13,97
1996,4,97,6,16,19,1996-04-06 16:19:00,7.0,1996-04-06 23:19:00,1996-04-06 23:00:00,23,97
1996,4,98,7,6,0,1996-04-07 06:00:00,8.0,1996-04-07 13:00:00,1996-04-07 13:00:00,13,98
1996,4,98,7,14,55,1996-04-07 14:55:00,6.5,1996-04-07 21:55:00,1996-04-07 22:00:00,22,98
1996,4,99,8,5,10,1996-04-08 05:10:00,10.2,1996-04-08 12:10:00,1996-04-08 12:00:00,12,99
1996,4,99,8,16,10,1996-04-08 16:10:00,7.2,1996-04-08 23:10:00,1996-04-08 23:00:00,23,99
1996,4,100,9,5,25,1996-04-09 05:25:00,8.6,1996-04-09 12:25:00,1996-04-09 12:00:00,12,100
1996,4,100,9,16,0,1996-04-09 16:00:00,6.5,1996-04-09 23:00:00,1996-04-09 23:00:00,23,100
1996,4,101,10,5,0,1996-04-10 05:00:00,9.2,1996-04-10 12:00:00,1996-04-10 12:00:00,12,101
1996,4,101,10,15,40,1996-04-10 15:40:00,6.8,1996-04-10 22:40:00,1996-04-10 23:00:00,23,101
1996,4,102,11,5,25,1996-04-11 05:25:00,8.5,1996-04-11 12:25:00,1996-04-11 12:00:00,12,102
1996,4,102,11,16,4,1996-04-11 16:04:00,5.0,1996-04-11 23:04:00,1996-04-11 23:00:00,23,102
1996,4,103,12,5,40,1996-04-12 05:40:00,8.1,1996-04-12 12:40:00,1996-04-12 13:00:00,13,103
1996,4,103,12,17,40,1996-04-12 17:40:00,6.6,1996-04-13 00:40:00,1996-04-13 01:00:00,1,104
1996,4,104,13,5,15,1996-04-13 05:15:00,8.3,1996-04-13 12:15:00,1996-04-13 12:00:00,12,104
1996,4,104,13,16,45,1996-04-13 16:45:00,6.8,1996-04-13 23:45:00,1996-04-14 00:00:00,0,105
1996,4,105,14,5,34,1996-04-14 05:34:00,12.2,1996-04-14 12:34:00,1996-04-14 13:00:00,13,105
1996,4,105,14,14,55,1996-04-14 14:55:00,10.6,1996-04-14 21:55:00,1996-04-14 22:00:00,22,105
1996,4,106,15,5,10,1996-04-15 05:10:00,14.2,1996-04-15 12:10:00,1996-04-15 12:00:00,12,106
1996,4,106,15,15,4,1996-04-15 15:04:00,7.8,1996-04-15 22:04:00,1996-04-15 22:00:00,22,106
1996,4,107,16,5,49,1996-04-16 05:49:00,8.9,1996-04-16 12:49:00,1996-04-16 13:00:00,13,107
1996,4,107,16,14,30,1996-04-16 14:30:00,5.9,1996-04-16 21:30:00,1996-04-16 22:00:00,22,107
1996,4,108,17,6,10,1996-04-17 06:10:00,6.8,1996-04-17 13:10:00,1996-04-17 13:00:00,13,108
1996,4,108,17,15,30,1996-04-17 15:30:00,4.4,1996-04-17 22:30:00,1996-04-17 22:00:00,22,108
1996,4,109,18,6,40,1996-04-18 06:40:00,5.4,1996-04-18 13:40:00,1996-04-18 14:00:00,14,109
1996,4,109,18,16,0,1996-04-18 16:00:00,4.5,1996-04-18 23:00:00,1996-04-18 23:00:00,23,109
1996,4,110,19,2,55,1996-04-19 02:55:00,5.5,1996-04-19 09:55:00,1996-04-19 10:00:00,10,110
1996,4,110,19,20,19,1996-04-19 20:19:00,5.4,1996-04-20 03:19:00,1996-04-20 03:00:00,3,111
1996,4,111,20,5,19,1996-04-20 05:19:00,7.3,1996-04-20 12:19:00,1996-04-20 12:00:00,12,111
1996,4,111,20,20,15,1996-04-20 20:15:00,6.1,1996-04-21 03:15:00,1996-04-21 03:00:00,3,112
1996,4,112,21,6,0,1996-04-21 06:00:00,6.9,1996-04-21 13:00:00,1996-04-21 13:00:00,13,112
1996,4,112,21,18,10,1996-04-21 18:10:00,5.7,1996-04-22 01:10:00,1996-04-22 01:00:00,1,113
1996,4,113,22,6,30,1996-04-22 06:30:00,8.6,1996-04-22 13:30:00,1996-04-22 14:00:00,14,113
1996,4,113,22,17,4,1996-04-22 17:04:00,6.6,1996-04-23 00:04:00,1996-04-23 00:00:00,0,114
1996,4,114,23,5,0,1996-04-23 05:00:00,8.0,1996-04-23 12:00:00,1996-04-23 12:00:00,12,114
1996,4,114,23,17,0,1996-04-23 17:00:00,5.6,1996-04-24 00:00:00,1996-04-24 00:00:00,0,115
1996,4,115,24,4,25,1996-04-24 04:25:00,6.6,1996-04-24 11:25:00,1996-04-24 11:00:00,11,115
1996,4,115,24,15,45,1996-04-24 15:45:00,4.2,1996-04-24 22:45:00,1996-04-24 23:00:00,23,115
1996,4,116,25,6,10,1996-04-25 06:10:00,5.4,1996-04-25 13:10:00,1996-04-25 13:00:00,13,116
1996,4,116,25,15,45,1996-04-25 15:45:00,4.4,1996-04-25 22:45:00,1996-04-25 23:00:00,23,116
1996,4,117,26,4,15,1996-04-26 04:15:00,5.4,1996-04-26 11:15:00,1996-04-26 11:00:00,11,117
1996,4,117,26,15,45,1996-04-26 15:45:00,4.2,1996-04-26 22:45:00,1996-04-26 23:00:00,23,117
1996,4,118,27,5,25,1996-04-27 05:25:00,5.4,1996-04-27 12:25:00,1996-04-27 12:00:00,12,118
